Date,Open,High,Low,Close,Volume
15-Aug-17,31.32,31.56,30.88,30.94,8807000
14-Aug-17,30.87,31.67,30.73,31.09,8042500
11-Aug-17,30.73,31.09,30.61,30.90,5328300
10-Aug-17,31.18,31.22,30.52,30.92,9230500
9-Aug-17,31.02,31.04,30.45,30.77,6908000
8-Aug-17,31.35,31.94,31.11,31.35,6207900
7-Aug-17,30.99,31.47,30.75,31.35,4783500
4-Aug-17,30.77,30.99,30.52,30.87,4958500
3-Aug-17,30.48,30.95,30.37,30.68,7168300
2-Aug-17,29.35,30.61,29.20,30.48,8081800
1-Aug-17,28.87,29.50,28.75,29.30,7274100
31-Jul-17,0,0,0,28.70,3577200
28-Jul-17,28.53,28.65,28.38,28.56,3632500
27-Jul-17,29.07,29.21,28.54,28.59,4741900
26-Jul-17,29.57,29.68,28.83,28.84,5147700
25-Jul-17,29.29,29.75,29.28,29.56,4848600
24-Jul-17,29.43,29.56,28.81,29.08,6832300
21-Jul-17,29.50,29.97,29.27,29.41,4011200
20-Jul-17,29.46,30.00,29.43,29.64,7680300
19-Jul-17,29.31,29.57,29.14,29.38,4845400
18-Jul-17,29.20,29.30,29.00,29.28,6422000
17-Jul-17,29.39,29.39,29.07,29.26,4913000
14-Jul-17,29.15,29.47,29.11,29.41,5363400
13-Jul-17,28.90,29.21,28.80,29.10,7041600
12-Jul-17,28.28,28.97,27.83,28.84,11713400
11-Jul-17,26.91,28.09,26.84,28.04,9267700
10-Jul-17,26.67,27.04,26.51,26.91,4721500
7-Jul-17,27.25,27.34,26.45,26.63,5769900
6-Jul-17,27.15,27.22,26.86,26.99,3926700
5-Jul-17,27.50,27.58,26.90,27.17,7511500
4-Jul-17,26.98,27.42,26.90,27.31,3015200
3-Jul-17,26.96,27.28,26.80,27.17,4220800
30-Jun-17,26.68,26.92,26.57,26.80,5112600
29-Jun-17,26.62,26.94,26.21,26.56,5154900
28-Jun-17,26.31,26.55,25.76,26.39,4796700
27-Jun-17,26.69,26.98,26.04,26.10,10363900
26-Jun-17,25.79,27.10,25.71,26.97,9369600
23-Jun-17,26.10,26.12,25.48,25.48,5059500
22-Jun-17,25.90,26.19,25.77,26.00,6455800
21-Jun-17,26.16,26.30,25.71,25.86,8155400
20-Jun-17,27.06,27.06,25.95,26.00,10073600
19-Jun-17,27.60,27.75,26.93,27.13,6367100
16-Jun-17,27.26,27.85,27.25,27.49,17949300
14-Jun-17,27.50,27.95,27.19,27.39,10030200
13-Jun-17,27.28,27.54,27.00,27.40,7621100
12-Jun-17,27.72,27.84,26.91,27.18,8004300
9-Jun-17,28.35,28.56,27.56,27.84,7728900
